Date,Passengers
1/1/2013,"2,395,018"
1/2/2013,"2,157,939"
1/3/2013,"2,653,755"
1/4/2013,"2,586,235"
1/5/2013,"2,790,145"
1/6/2013,"3,024,497"
1/7/2013,"3,129,016"
1/8/2013,"3,090,439"
1/9/2013,"2,568,965"
1/10/2013,"2,711,500"
1/11/2013,"2,490,851"
1/12/2013,"2,815,561"
1/1/2014,"2,614,604"
1/2/2014,"2,289,197"
1/3/2014,"2,823,600"
1/4/2014,"2,760,561"
1/5/2014,"2,957,792"
1/6/2014,"3,174,602"
1/7/2014,"3,306,900"
1/8/2014,"3,277,674"
1/9/2014,"2,693,024"
1/10/2014,"2,853,015"
1/11/2014,"2,671,214"
1/12/2014,"2,895,573"
1/1/2015,"2,659,513"
1/2/2015,"2,426,750"
1/3/2015,"2,976,595"
1/4/2015,"2,877,010"
1/5/2015,"3,089,487"
1/6/2015,"3,345,353"
1/7/2015,"3,508,195"
1/8/2015,"3,460,331"
1/9/2015,"2,928,216"
1/10/2015,"3,117,027"
1/11/2015,"2,923,328"
1/12/2015,"3,125,742"
1/1/2016,"2,874,780"
1/2/2016,"2,673,862"
1/3/2016,"3,186,298"
1/4/2016,"3,067,023"
1/5/2016,"3,321,598"
1/6/2016,"3,732,628"
1/7/2016,"3,850,553"
1/8/2016,"3,710,845"
1/9/2016,"3,240,707"
1/10/2016,"3,358,035"
1/11/2016,"3,200,439"
1/12/2016,"3,389,198"
1/1/2017,"3,090,871"
1/2/2017,"2,752,122"
1/3/2017,"3,334,102"
1/4/2017,"3,351,041"
1/5/2017,"3,496,335"
1/6/2017,"3,831,405"
1/7/2017,"3,934,293"
1/8/2017,"3,857,589"
1/9/2017,"3,285,789"
1/10/2017,"3,481,740"
1/11/2017,"3,308,062"
1/12/2017,"3,478,019"
1/1/2018,"3,196,356"
1/2/2018,"2,950,653"
1/3/2018,"3,559,029"
1/4/2018,"3,461,659"
1/5/2018,"3,713,675"
1/6/2018,"3,983,870"
1/7/2018,"4,066,465"
1/8/2018,"3,957,892"
1/9/2018,"3,331,632"
1/10/2018,"3,550,746"
1/11/2018,"3,392,058"
1/12/2018,"3,544,356"
1/1/2019,"3,235,417"
1/2/2019,"2,961,371"
1/3/2019,"3,626,809"
1/4/2019,"3,478,630"
1/5/2019,"3,739,384"
1/6/2019,"4,015,805"
1/7/2019,"4,076,116"
1/8/2019,"3,936,915"
1/9/2019,"3,399,994"
1/10/2019,"3,497,202"
1/11/2019,"3,326,902"
1/12/2019,"3,626,678"
